timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:45:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.06%,52.75MiB / 160MiB,32.97%,1.48MB / 582kB,111kB / 0B,7
2026-05-29T18:45:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.71%,72.09MiB / 160MiB,45.06%,1.49MB / 593kB,868kB / 0B,7
2026-05-29T18:45:09-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.1MiB / 30MiB,40.34%,4.19MB / 4.47MB,0B / 12.3kB,15
2026-05-29T18:45:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.07%,52.75MiB / 160MiB,32.97%,1.48MB / 582kB,111kB / 0B,7
2026-05-29T18:45:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.75%,72.21MiB / 160MiB,45.13%,1.49MB / 593kB,868kB / 0B,7
2026-05-29T18:45:13-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.1MiB / 30MiB,40.34%,4.19MB / 4.47MB,0B / 12.3kB,15
2026-05-29T18:45:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,6.78%,53.08MiB / 160MiB,33.18%,1.48MB / 582kB,111kB / 0B,9
2026-05-29T18:45:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,5.20%,72.34MiB / 160MiB,45.21%,1.49MB / 594kB,868kB / 0B,10
2026-05-29T18:45:17-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.1MiB / 30MiB,40.34%,4.19MB / 4.47MB,0B / 12.3kB,15
2026-05-29T18:45:22-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.63%,53.34MiB / 160MiB,33.34%,1.51MB / 591kB,111kB / 0B,11
2026-05-29T18:45:22-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,43.30%,72.17MiB / 160MiB,45.11%,1.51MB / 603kB,868kB / 0B,11
2026-05-29T18:45:22-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.86%,12.88MiB / 30MiB,42.92%,4.26MB / 4.55MB,0B / 12.3kB,15
2026-05-29T18:45:26-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,36.77%,54.07MiB / 160MiB,33.79%,1.53MB / 602kB,111kB / 0B,11
2026-05-29T18:45:26-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.22%,72.41MiB / 160MiB,45.26%,1.54MB / 611kB,868kB / 0B,16
2026-05-29T18:45:26-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.56%,12.72MiB / 30MiB,42.40%,4.32MB / 4.61MB,0B / 12.3kB,15
2026-05-29T18:45:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,27.06%,53.47MiB / 160MiB,33.42%,1.56MB / 612kB,111kB / 0B,11
2026-05-29T18:45:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.32%,75.86MiB / 160MiB,47.41%,1.57MB / 623kB,868kB / 0B,23
2026-05-29T18:45:30-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.58%,12.83MiB / 30MiB,42.77%,4.41MB / 4.71MB,0B / 12.3kB,15
2026-05-29T18:45:34-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,39.01%,53.82MiB / 160MiB,33.64%,1.59MB / 622kB,111kB / 0B,12
2026-05-29T18:45:34-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.58%,73.95MiB / 160MiB,46.22%,1.59MB / 630kB,868kB / 0B,26
2026-05-29T18:45:34-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.38%,12.91MiB / 30MiB,43.05%,4.46MB / 4.76MB,0B / 12.3kB,15
2026-05-29T18:45:39-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,31.21%,54.48MiB / 160MiB,34.05%,1.6MB / 628kB,111kB / 0B,12
2026-05-29T18:45:39-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.35%,73.35MiB / 160MiB,45.84%,1.62MB / 641kB,868kB / 0B,33
2026-05-29T18:45:39-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.61%,12.57MiB / 30MiB,41.89%,4.55MB / 4.86MB,0B / 12.3kB,15
2026-05-29T18:45:43-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,24.88%,55.51MiB / 160MiB,34.69%,1.63MB / 639kB,111kB / 0B,13
