timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:51:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.08%,51.64MiB / 160MiB,32.28%,2.04MB / 798kB,139kB / 0B,7
2026-05-29T18:51:09-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.08%,57.09MiB / 160MiB,35.68%,2.06MB / 827kB,868kB / 0B,7
2026-05-29T18:51:09-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.39%,5.79MB / 6.18MB,0B / 12.3kB,15
2026-05-29T18:51:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.08%,51.64MiB / 160MiB,32.28%,2.04MB / 798kB,139kB / 0B,7
2026-05-29T18:51:13-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.79%,57.75MiB / 160MiB,36.09%,2.06MB / 827kB,868kB / 0B,7
2026-05-29T18:51:13-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.39%,5.79MB / 6.18MB,0B / 12.3kB,15
2026-05-29T18:51:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,44.43%,52.14MiB / 160MiB,32.59%,2.05MB / 802kB,139kB / 0B,12
2026-05-29T18:51:17-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.44%,57.5MiB / 160MiB,35.94%,2.07MB / 833kB,868kB / 0B,12
2026-05-29T18:51:17-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.85%,12.46MiB / 30MiB,41.55%,5.81MB / 6.2MB,0B / 12.3kB,15
2026-05-29T18:51:22-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.41%,53.21MiB / 160MiB,33.26%,2.09MB / 813kB,139kB / 0B,39
2026-05-29T18:51:22-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,29.97%,57.45MiB / 160MiB,35.90%,2.1MB / 844kB,868kB / 0B,12
2026-05-29T18:51:22-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.62%,13.4MiB / 30MiB,44.67%,5.9MB / 6.31MB,0B / 12.3kB,15
2026-05-29T18:51:26-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,38.49%,53.44MiB / 160MiB,33.40%,2.11MB / 824kB,139kB / 0B,49
2026-05-29T18:51:26-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.64%,57.68MiB / 160MiB,36.05%,2.13MB / 856kB,868kB / 0B,17
2026-05-29T18:51:26-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.53%,13.18MiB / 30MiB,43.93%,5.97MB / 6.37MB,0B / 12.3kB,15
2026-05-29T18:51:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.71%,56.05MiB / 160MiB,35.03%,2.13MB / 830kB,139kB / 0B,49
2026-05-29T18:51:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,39.89%,57.68MiB / 160MiB,36.05%,2.14MB / 863kB,868kB / 0B,23
2026-05-29T18:51:30-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.44%,13.42MiB / 30MiB,44.74%,6.03MB / 6.45MB,0B / 12.3kB,15
2026-05-29T18:51:34-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,45.47%,59.93MiB / 160MiB,37.45%,2.16MB / 838kB,139kB / 0B,63
2026-05-29T18:51:34-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,43.02%,57.9MiB / 160MiB,36.19%,2.16MB / 872kB,868kB / 0B,23
2026-05-29T18:51:34-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.54%,13.35MiB / 30MiB,44.51%,6.08MB / 6.5MB,0B / 12.3kB,15
2026-05-29T18:51:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,45.60%,57.72MiB / 160MiB,36.07%,2.18MB / 845kB,139kB / 0B,71
2026-05-29T18:51:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,11.34%,57.47MiB / 160MiB,35.92%,2.19MB / 882kB,868kB / 0B,23
2026-05-29T18:51:38-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.26%,13.54MiB / 30MiB,45.12%,6.14MB / 6.57MB,0B / 12.3kB,15
2026-05-29T18:51:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.79%,58.12MiB / 160MiB,36.33%,2.2MB / 851kB,139kB / 0B,71
2026-05-29T18:51:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,29.42%,57.41MiB / 160MiB,35.88%,2.2MB / 890kB,868kB / 0B,23
2026-05-29T18:51:42-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.41%,13.75MiB / 30MiB,45.82%,6.2MB / 6.63MB,0B / 12.3kB,15
2026-05-29T18:51:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.80%,60.85MiB / 160MiB,38.03%,2.22MB / 860kB,139kB / 0B,76
2026-05-29T18:51:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.65%,57.88MiB / 160MiB,36.18%,2.22MB / 896kB,868kB / 0B,28
2026-05-29T18:51:46-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.25%,14.4MiB / 30MiB,48.01%,6.25MB / 6.7MB,0B / 12.3kB,15
2026-05-29T18:51:51-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.55%,59.03MiB / 160MiB,36.89%,2.24MB / 866kB,139kB / 0B,71
2026-05-29T18:51:51-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.35%,58.23MiB / 160MiB,36.39%,2.24MB / 906kB,868kB / 0B,28
2026-05-29T18:51:51-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.43%,14.91MiB / 30MiB,49.70%,6.3MB / 6.75MB,0B / 12.3kB,15
2026-05-29T18:51:55-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,39.58%,60.94MiB / 160MiB,38.09%,2.25MB / 873kB,205kB / 0B,77
2026-05-29T18:51:55-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.73%,58.26MiB / 160MiB,36.41%,2.26MB / 915kB,868kB / 0B,28
2026-05-29T18:51:55-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.23%,15.15MiB / 30MiB,50.49%,6.35MB / 6.8MB,0B / 12.3kB,15
2026-05-29T18:51:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,45.67%,60.6MiB / 160MiB,37.88%,2.28MB / 882kB,205kB / 0B,71
2026-05-29T18:51:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,38.99%,59.53MiB / 160MiB,37.21%,2.29MB / 924kB,868kB / 0B,40
2026-05-29T18:51:59-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.50%,15.2MiB / 30MiB,50.68%,6.44MB / 6.9MB,0B / 12.3kB,15
